title,description,priority,estimate,labels
"[Buyers] Complete buyer lead detail page","Wire /buyers/[id] to show all lead fields from DB. Show related visits and activity timeline.",1,3,"S1"
"[Buyers] Add edit-lead functionality","Add inline edit or edit dialog on buyer detail page. Call PUT /api/v1/leads/[id].",1,3,"S1"
"[Buyers] Enhance new-lead-form with all schema fields","Add missing fields: preference_json, locality, zone, budget range, timeline.",2,2,"S1"
"[Buyers] Add delete/archive lead action","Soft-delete via DELETE /api/v1/leads/[id]. Add confirmation dialog.",2,1,"S1"
"[Buyers] Wire kanban drag-and-drop to update lead status","Kanban column changes call PUT /api/v1/leads/[id] with new status.",1,2,"S1"
"[Sellers] Complete seller lead detail page","Wire /sellers/[id] to show all seller lead fields and activity timeline.",1,3,"S1"
"[Sellers] Add edit seller lead functionality","Edit dialog or inline editing on seller detail page.",1,3,"S1"
"[Sellers] Enhance new-seller-form with all schema fields","Add missing fields: secondary phone, source listing URL, drop reason.",2,2,"S1"
"[Sellers] Add delete/archive seller lead action","Soft-delete with confirmation dialog.",2,1,"S1"
"[Listings] Complete listing detail page with all fields","Wire listing detail to show: configuration, USPs, price, MSP, GTM fields.",1,3,"S1"
"[Listings] Create edit-listing page/dialog","Full edit form for listing fields. Call PUT /api/v1/listings/[id].",1,5,"S1"
"[Listings] Complete listing wizard submission","Verify wizard correctly creates building, unit, and listing via POST.",1,2,"S1"
"[Listings] Add listing status workflow UI","Status transition buttons: draft, inspection_pending, active, sold.",2,3,"S1"
"[Visits] Complete visit detail page","Show scheduled time, status, agent, property, buyer, OTP, and location.",1,3,"S1"
"[Visits] Add visit workflow actions","Buttons: Confirm, Cancel, Reschedule, Complete (with OTP + location).",1,5,"S1"
"[Visits] Fix visit creation form","Wire to real data: listing, lead, and agent dropdowns from API.",1,3,"S1"
"[Offers] Complete offers list page","Fetch from GET /api/v1/offers and display in table and kanban.",1,3,"S1"
"[Offers] Create new offer form","Select listing and buyer lead, enter amount and terms. Call POST.",1,3,"S1"
"[Offers] Add offer status actions","Accept, Reject (with reason), Counter (with new amount).",2,3,"S1"
"[Settings] Create team management page","List team members from GET /api/v1/agents. Add/edit roles.",2,3,"S1"
"[Shared] Create reusable notes section component","Polymorphic: works for leads, seller leads, listings, visits.",1,3,"S1"
"[Shared] Create activity timeline component","Fetch from audit logs API. Render chronological timeline.",2,3,"S1"
"[Shared] Create media gallery component","Display images grid with lightbox. Upload placeholder.",2,2,"S1"
"[WhatsApp] Design integration architecture","Document Kapso API surface. Design DB schema additions.",1,2,"S2"
"[WhatsApp] Create Kapso service module","Service to send template msg, send session msg, and validate webhook.",1,3,"S2"
"[WhatsApp] Create send message API","Endpoint to send template or session message to a phone number.",1,3,"S2"
"[WhatsApp] Create webhook receiver","Endpoint to receive delivery receipts and incoming messages.",1,3,"S2"
"[WhatsApp] Add Send WhatsApp button to detail pages","Entry point on buyer, seller, and visit detail pages.",2,3,"S2"
